applicant_id,age,income,employment_years,loan_amount,loan_term_months,credit_history,existing_debts,num_credit_lines,missed_payments,default
APP0001,31,26893,3,53276,36,0,1306,1,2,0
APP0002,29,43697,3,14607,24,0,177,4,0,0
APP0003,33,84713,6,7938,36,1,446,4,0,0
APP0004,45,31153,2,28814,36,0,1159,2,2,1
APP0005,41,64134,13,8895,12,1,320,1,0,0
APP0006,43,93226,5,7083,36,1,377,3,0,0
APP0007,30,13895,2,30379,36,0,1129,2,0,1
APP0008,32,35101,3,44059,60,0,1317,1,3,1
APP0009,33,45075,8,14814,48,1,866,3,1,1
APP0010,49,91933,15,16690,12,1,637,3,0,0
APP0011,35,46411,5,6099,36,0,656,3,1,0
APP0012,26,43978,7,24630,24,0,594,4,3,0
APP0013,27,46068,3,10291,36,1,759,3,0,1
APP0014,18,30764,1,31530,48,0,1581,1,3,1
APP0015,34,29917,1,14059,24,1,720,2,1,1
APP0016,31,25927,0,29942,48,0,1535,1,3,1
APP0017,22,39072,4,51707,36,0,1047,2,3,0
APP0018,55,93103,10,13172,24,1,364,2,0,1
APP0019,34,103249,6,13389,12,1,381,2,0,0
APP0020,48,80469,4,20353,48,1,411,5,0,0
APP0021,40,53563,5,24771,24,1,563,3,0,1
APP0022,29,34779,2,20397,60,0,1819,3,2,0
APP0023,36,21434,3,39953,36,0,1728,3,1,1
APP0024,34,67762,9,16705,12,1,327,6,0,0
APP0025,60,51125,0,21723,48,0,507,4,0,1
APP0026,33,87237,9,18570,12,1,347,4,2,0
APP0027,45,45894,2,17896,36,1,842,3,2,0
APP0028,28,18856,2,41729,60,0,1833,3,6,1
APP0029,38,28058,4,46858,48,0,1492,2,2,1
APP0030,24,28654,6,12592,48,0,1674,0,0,0
APP0031,34,74977,16,15642,12,1,354,2,0,0
APP0032,28,22787,6,42607,48,0,589,2,3,1
APP0033,40,60389,1,19323,48,1,605,1,2,0
APP0034,45,104770,4,24218,36,1,226,2,0,0
APP0035,45,91619,6,14702,12,1,0,2,0,0
APP0036,26,60497,16,21616,36,1,287,4,0,0
APP0037,51,80153,6,17310,24,1,319,3,0,0
APP0038,41,51513,0,32244,48,1,576,7,2,1
APP0039,44,70659,9,12534,36,1,241,6,0,0
APP0040,34,39620,2,41975,60,0,1148,2,4,1
APP0041,36,23267,3,32573,48,0,1312,3,4,0
APP0042,29,61389,4,28831,24,1,645,1,3,0
APP0043,18,24425,4,20640,60,0,1708,2,2,1
APP0044,28,22582,3,33235,36,0,1069,1,3,1
APP0045,43,72395,8,16160,36,1,155,2,0,0
APP0046,23,38880,0,53840,60,0,1279,1,1,1
APP0047,52,91562,11,15444,24,1,155,3,1,0
APP0048,28,35868,2,35652,60,0,2310,2,5,1
APP0049,27,35810,0,44408,48,0,1336,0,2,1
APP0050,44,108142,13,12115,24,1,210,5,1,0
APP0051,21,71977,8,18246,24,0,357,5,3,0
APP0052,18,23204,2,35563,36,0,1219,2,3,0
APP0053,42,36504,0,32221,24,0,766,1,2,0
APP0054,36,63838,8,23328,48,0,495,2,0,0
APP0055,32,38949,0,43232,48,0,1823,0,4,1
APP0056,24,38675,3,38968,60,0,1394,2,4,1
APP0057,18,33357,2,23721,48,0,1194,0,3,1
APP0058,24,21657,1,22577,60,0,1178,0,2,1
APP0059,31,37637,3,27555,48,0,1105,2,2,0
APP0060,29,100503,16,13754,12,1,357,5,0,0
APP0061,21,28635,5,8000,60,0,1075,1,1,0
APP0062,33,70184,6,13246,12,1,321,6,0,0
APP0063,27,39839,2,24664,36,0,2009,2,2,0
APP0064,53,60355,2,19706,24,1,302,5,0,0
APP0065,36,72693,7,10680,24,1,304,3,0,0
APP0066,45,78726,10,16367,36,1,227,3,0,0
APP0067,28,34011,0,41520,60,0,1134,2,3,1
APP0068,37,39148,6,8707,36,0,686,0,1,0
APP0069,21,24923,4,28077,48,0,1734,0,4,1
APP0070,36,51072,6,34641,36,0,676,3,1,1
APP0071,25,25447,3,47419,36,0,516,2,4,0
APP0072,18,25187,2,55117,48,0,1530,1,4,1
APP0073,43,88534,6,12998,12,1,350,7,0,0
APP0074,29,29985,1,24801,48,0,1732,1,0,0
APP0075,54,86030,8,19145,24,1,428,4,0,0
APP0076,48,66167,13,21778,24,1,341,8,0,0
APP0077,20,23896,2,45026,36,0,1043,0,3,0
APP0078,26,28375,5,42083,36,0,1486,2,3,1
APP0079,43,81501,9,18905,12,1,553,6,0,0
APP0080,33,44877,1,8761,24,1,864,3,0,1
APP0081,52,67722,3,13696,24,1,187,4,0,0
APP0082,20,49348,4,27569,36,1,1069,5,0,0
APP0083,20,32133,0,33025,60,0,1400,2,1,1
APP0084,22,33394,1,36860,60,0,2427,0,2,1
APP0085,25,96372,14,4633,12,1,265,4,1,0
APP0086,30,68332,5,23761,36,1,393,7,0,0
APP0087,36,69075,10,14348,36,1,350,2,0,0
APP0088,40,74377,12,17221,36,1,263,7,0,0
APP0089,23,20501,0,56176,36,0,903,1,3,0
APP0090,36,12000,0,28460,36,0,1788,1,2,1
